"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"RCV";"1387";"Train TER à charge, VL<160 km/h, Haute-Normandie";"SNCF-TER";2018;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RCP";"1387";"Train TER à charge, VL<160 km/h, Languedoc-Roussillon";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCE";"1387";"Train TER à charge, VL<160 km/h, Limousin";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCN";"1387";"Train TER à charge, VL<160 km/h, Lorraine";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RCT";"1387";"Train TER à charge, VL<160 km/h, Midi-Pyrénées";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RCL";"1387";"Train TER à charge, VL<160 km/h, Nord-Pas-de-Calais";"SNCF-TER";2018;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCG";"1387";"Train TER à charge, VL<160 km/h, Pays de la Loire";"SNCF-TER";2018;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RCA";"1387";"Train TER à charge, VL<160 km/h, Picardie";"SNCF-TER";2018;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCY";"1387";"Train TER à charge, VL<160 km/h, Poitou-Charentes";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RCM";"1387";"Train TER à charge, VL<160 km/h, Provence-Alpes-Côte d'Azur";"SNCF-TER";2018;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RCK";"1387";"Train TER à charge, VL<160 km/h, Rhône-Alpes";"SNCF-TER";2018;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCI";"1387";"Train régional à charge VL<160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBS";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Alsace";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBB";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Aquitaine";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBF";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Auvergne";"SNCF-TER";2018;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBR";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Basse-Normandie";"SNCF-TER";2018;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBD";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bourgogne";"SNCF-TER";2018;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBJ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Bretagne";"SNCF-TER";2018;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RBU";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Centre";"SNCF-TER";2018;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RBH";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Champagne-Ardenne";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBC";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Franche-Comté";"SNCF-TER";2018;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RBV";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Haute-Normandie";"SNCF-TER";2018;"TER";"Service conventionné";"Normandie";"Nomad Train"
"RBP";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Languedoc-Roussillon";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBE";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Limousin";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBN";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Lorraine";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RBT";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Midi-Pyrénées";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBL";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Nord-Pas-de-Calais";"SNCF-TER";2018;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBG";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Pays de la Loire";"SNCF-TER";2018;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
"RBA";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Picardie";"SNCF-TER";2018;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RBY";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Poitou-Charentes";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RBM";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Provence-Alpes-Côte d'Azur";"SNCF-TER";2018;"TER";"Service conventionné";"Provence-Alpes-Côte d'Azur";"Train Zou"
"RBK";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, Rhône-Alpes";"SNCF-TER";2018;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RBI";"1387";"Train régional à charge VL>=160 km/h, parcours hors RFN ou non facturable";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RVL";"1387";"Train TER à charge, TGV, Nord-Pas-de-Calais";"SNCF-TER";2018;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCW";"1387";"Train TER à charge, VL<160 km/h, Centre Val de Loire : ex IC GBPS ";"SNCF-TER";2018;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
"RCX";"1387";"Train TER à charge, VL<160 km/h, Occitanie : ex IC Cevenol ";"SNCF-TER";2018;"TER";"Service conventionné";"Occitanie";"LiO Train"
"RBZ";"1387";"Train TER à charge, VL>= 160km/h, hors TGV, IC Nouvelle Aquitaine";"SNCF-TER";2018;"TER";"Service conventionné";"Nouvelle-Aquitaine";"TER Nouvelle-Aquitaine"
"RWN";"1387";"Tram-train TER à charge, Lorraine";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RWK";"1387";"Tram-train TER à charge, Rhône-Alpes";"SNCF-TER";2018;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RWS";"1387";"Tram-train TER à charge, Alsace";"SNCF-TER";2018;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"RWG";"1387";"Tram-train TER à charge, Pays de la Loire";"SNCF-TER";2018;"TER";"Service conventionné";"Pays de la Loire";"TER Aléop"
